"Source","Location","Meand13C","Meand15N","SDd15N","SDd13C","n"
"Pelagic","High",-17.0408,8.1976,0.88022856880093,1.7304910671059,25
"Pelagic","Low",-15.1311111111111,8.21444444444444,1.21459856463056,2.13270303188752,18
"Benthic","High",-10.5463636363636,6.13345454545455,0.681523940999054,2.80932202420624,55
"Benthic","Low",-9.51625,5.54425,0.553566003754584,3.38025768058879,40
